,text,label
0,nobody need credit thankful vaccine work game,1
1,sweetest downfall loved first beneath sheet paper lie truth,0
2,covid catalysed digital health trend medical futurist,1
3,one marylands largest soup kitchen able feed people pandemic franciscan center bal,1
4,lincolnshire mum jailed trying kill baby son lockdown scared abusive,1
5,youre lead vote,0
6,covid might stop,1
7,interesting conversation todays seminar digital life work futureready youth much digital litera,1
8,twitter kinda confusing fun,0
9,welcome miley ray fans twitter page updated news miley special stuff,0
10,magic sister day delonge day,0
11,sunday night weekend quickly coming close maybe time hit objc book shower call nite,0
12,still essence huh,0
13,true take onus student teacher course designer institution academic support team need start putting head together value community based work learning skill need developed designed ascilite,1
14,definitely one ive doubt decision continue based return pre lockdown football mad last couple month saw change didnt like come back time key,1
15,downside getting tdl day early wont time read til next week anyway still hurrah clutch close,0
16,would worked usa usa done beginning france usa divided issue national mandate happened immediately usa position today proved france lockdown work mask work,1
17,could back time repeat one event would nung walang quarantine good old day,1
18,suggestion break covid safe ice simon epidemiologist say pin mask donkey whats time cmo truth mask mask mystery,1
19,fucking duh httpstcoqclmdvgekf,1
20,found solution high cpu usage problem stupidly simple never would figured reinstalling window,0
21,cant post using iphone app use twitter cross post,0
22,thanks cindy feeling better mother hope last way hug,0
23,feeling alone tonight,0
24,love think greatest getting butt tonight wonderful amelia,0
25,unaccompanied migrant minor asylum seeker must protect httpstcouimrxuvma,1
26,bovvered funny httpbitlyyftnc,0
27,think number double,0
28,afraid wish though,0
29,trying see family christmas highly unlikely high risk covid left house since march make wonderful christmas gift mother sister grandma would super grateful pink satuday,1
30,laying bed justta thinkin sleep,0
31,great word httpstcoxjhskeh,1
32,httptrimjdj fast cool sorry part missing trim account listing search tweetie nambu,0
33,use ifox graphite find way highlight current tab kinda confusing checking suggestion,0
34,haha well going try question day happy hear answer,0
35,president trump tweet election result skip session coronavirus pandemic final sum,1
36,plus ever going back year far best shot itll ever get pandemic meant literally call midwife drama completed available even couldnt beat christmas day competition,1
37,back wisconsin gotta baby sit week aint bad tho,0
38,better roll work even though day,0
39,breaking say theyve permission wednesday emergency use vaccine pfizer bio tech covid britain,1
40,case interview alabama seem indicate church school family gathering frequently reported gathering attended covid case please safe,1
41,saw eminem last night getting whiff sun dont shine hilarious,0
42,conspiracymakers calling conspiracy theorist brilliant mind see lied wildly contradictory analysis stats yet paid protect dont think brilliant mind used instead deceive selfgain httpstcoktnsgrcvzt,1
43,dec big ofound chart belief related saturdaymorning covid conspiracytheory day code,1
44,last night way warm mum blanket move night long annoying something bit throat,0
45,thank scientist developing vaccine lets make sure manufactured delivered safe effective waypfizer bio tech,1
46,enforcement backstop necessary necessary support isolation contact quarantine protection adverse financial employment impact practical material help social psych support close monitoring early medical treatment etc,1
47,must wake reality change never wake,0
48,hey mom bringing breakfast delivery hawkcam live httpustreamfi,0
49,want coat like carolannes,0
50,democrat interested legal fair election interested concern,1
51,tired turn word,0
52,reading wrong ucp utterly reprehensible focusing comorbidities instead acknowledging people dying covid,1
53,waiting friday thats release date brazil,0
54,someone said really pathetic concerned fpl point someone battling covid,1
55,going pub whos coming drink hug round httpstcoegofalmo,1
56,dreading another stressed work week,0
57,good news couple canceled wedding due covid donates catering deposit thanksgiving meal https,1
58,tweet evidence gossip imagine asking someone believe ghost evidence thats covid believing something evidence expose government covid lie conscious sound httpstcolmzkobsdsound cloud,1
59,wfh zoom video slump workfromhome beat last month open,1
60,nope pearl cant upgrade til still,0
61,lockdown ended see gravesend mistress leather amber gravesend,1
62,thanks good going publish minute,0
63,twitter asked wanted read article first already original got deleted know contains good data data suggest excess death due covid isnt good narrative know,1
64,sad thing lunch ended eating toast chesse friday,0
65,good beating err meeting,0
66,coronavirus particle spread easily indoors fresh air reduce spread coronavirus youre anyon,1
67,detoxing tomorrow french way dont luv french woman dont get fat luv book,0
68,likely either thanks god bless httpstcomdhlgwtbe,1
69,tore parking garage nice lobby think fine,1
70,bonnie henry announced mask mandatory health order must worn public indoor breaking,1
71,omg watched lucky cant watch kinda hard watch prolly gonna cry monday,0
72,wont let upload profile piccy,0
73,ucf hospitality student worry career tourism world turned upside covid httpstcosspcmrrf,1
74,hehe know call,0
75,wanna warped tour bad parent wont let,0
76,try mafia war far addictive farmtown,0
77,finished house work need find smoke lol,0
78,picking frisco mhs miss school,0
79,yeah work like job mostly dublin city doesnt queen girl well loved,0
80,tell nathan reese upgrade skool faulty honest,0
81,didnt enjoy today exam making feel better eating thing shouldnt inevitably make feel much,0
82,governor new jersey say member floridas congressional delegation snuck jersey city attend fundrais,1
83,need shopping milos party pain dont wanna anywhere,0
84,httptwitpiccomwaa ive exam,0
85,taylor told label planning release album amidst global pandemic label said whatever want support got legend think disney plus,1
86,hey karshas need day,0
87,ppl really risked getting covid see jeff dunham puppet,1
88,lockdown night shit come time shut gonna,1
89,please lawyer take issue serious crime anywhere world including nigeria china,1
90,dandysmalls gone everyone need stop leaving,0
91,first black friday shop unemployed pandemic suck important sick alive god bless one,1
92,much cant give hoot playing hide seek one reason look like horrid heat wil always keep close,0
93,seriously love youre funny,0
94,first aid course,0
95,heading day nature photography alligator snake orchid great day peep,0
96,awful weve got get word somehow got beyond politics many people die unnecessarily httpstcochocurulwl,1
97,failed going back,0
98,pandian seems taking long time patient whats going waiting bored hospital,0
99,also kylie ohhhh kylie,0
100,ireland government ignores factory outbreak let owner decide whether even tell staff assumes peopl,1
101,gov gavin newsom said majority california county states restrictive covid tier amid surge case see httpstcocituimuejj httpstcoyqrneosgq,1
102,short care late ive taken easy way machine washed line dried think may problem cycling,0
103,writing term planning necessarily productivity int travel moving etc using year slow way hope back normal whatever look like vaccine,1
104,time bfast today big mtg,0
105,uhoh dog trouble chewed davids favorite toy,0
106,performative allyship mean advocate lockdown without acknowledging greater suffering entail working class people advocating real financial support giving agree lockdown redistribution together work,1
107,love latest journal finally joined twitter came say,0
108,medusas project hair show today getting ready photograph day,0
109,beatles rock band release wheres dreamcast,0
110,last day jam mtv jam week,0
111,ref name ray corona mon son wild jones,1
